País,Liga,Temporada,Fecha,Equipo Local,Equipo Visitante,Goles Local,Goles Visitante,Resultado,Goles Medio Tiempo Local,Goles Medio Tiempo Visitante,Resultado Medio Tiempo,Puntos Local,Puntos Visitante
Mexico,Liga MX,2012/2013,2012-07-21,Chiapas,Tigres UANL,0,4,A,0,4,A,0,3
Mexico,Liga MX,2012/2013,2012-07-21,Club Tijuana,Puebla,2,0,H,2,0,H,3,0
Mexico,Liga MX,2012/2013,2012-07-21,Cruz Azul,Monarcas,0,0,D,0,0,D,1,1
Mexico,Liga MX,2012/2013,2012-07-21,Queretaro,Club Leon,0,2,A,0,2,A,0,3
Mexico,Liga MX,2012/2013,2012-07-22,Monterrey,Club America,0,0,D,0,0,D,1,1
Mexico,Liga MX,2012/2013,2012-07-22,Santos Laguna,Atl. San Luis,2,1,H,2,1,H,3,0
Mexico,Liga MX,2012/2013,2012-07-22,Atlas,UNAM Pumas,1,1,D,1,1,D,1,1
Mexico,Liga MX,2012/2013,2012-07-22,Toluca,Guadalajara Chivas,2,1,H,2,1,H,3,0
Mexico,Liga MX,2012/2013,2012-07-23,Atlante,Pachuca,0,0,D,0,0,D,1,1
Mexico,Liga MX,2012/2013,2012-07-28,Monarcas,Monterrey,1,0,H,1,0,H,3,0
Mexico,Liga MX,2012/2013,2012-07-28,Club Leon,Club Tijuana,4,0,H,4,0,H,3,0
Mexico,Liga MX,2012/2013,2012-07-28,Club America,Chiapas,4,2,H,4,2,H,3,0
Mexico,Liga MX,2012/2013,2012-07-29,Pachuca,Atlas,0,3,A,0,3,A,0,3
Mexico,Liga MX,2012/2013,2012-07-29,Tigres UANL,Atlante,2,1,H,2,1,H,3,0
Mexico,Liga MX,2012/2013,2012-07-29,Atl. San Luis,Cruz Azul,1,2,A,1,2,A,0,3
Mexico,Liga MX,2012/2013,2012-07-29,Puebla,Toluca,1,3,A,1,3,A,0,3
Mexico,Liga MX,2012/2013,2012-07-29,UNAM Pumas,Queretaro,3,0,H,3,0,H,3,0
Mexico,Liga MX,2012/2013,2012-07-29,Guadalajara Chivas,Santos Laguna,0,1,A,0,1,A,0,3
Mexico,Liga MX,2012/2013,2012-08-04,Santos Laguna,Puebla,2,2,D,2,2,D,1,1
Mexico,Liga MX,2012/2013,2012-08-04,Club Tijuana,UNAM Pumas,1,0,H,1,0,H,3,0
Mexico,Liga MX,2012/2013,2012-08-04,Monarcas,Atl. San Luis,3,3,D,3,3,D,1,1
Mexico,Liga MX,2012/2013,2012-08-04,Cruz Azul,Guadalajara Chivas,0,0,D,0,0,D,1,1
Mexico,Liga MX,2012/2013,2012-08-04,Queretaro,Pachuca,0,1,A,0,1,A,0,3
Mexico,Liga MX,2012/2013,2012-08-05,Monterrey,Chiapas,2,1,H,2,1,H,3,0
